answer,id,problem,type
\$ 9748,HHSWP_11_7,"A reinforced-concrete culvert needs to be designed for a roadway. The flood-frequency data relevant to the proposed location is provided in the table on the subsequent page. The flood damages corresponding to various flood magnitudes are also detailed in the table. A culvert with a diameter of 30 inches will accommodate a discharge of 40 cfs. Calculate the total annual cost of this culvert, factoring in the damage costs due to floods exceeding the design level. Assume the following relationships are valid for the annual direct cost and the cost of operation and maintenance: (1) Annual direct cost $=950+70 D$ (where $D$ is the diameter in inches), and (2) Annual O\&M cost $=$ $30 \%$ of the direct cost.

| Discharge (cfs) | Annual Exceedance Probability | Estimated Damage (dollars) |
| :--- | :--- | :--- |
| 20 | 0.46 | 0 |
| 24 | 0.36 | 600 |
| 32 | 0.22 | 4,000 |
| 40 | 0.14 | 10,000 |
| 60 | 0.06 | 22,500 |
| 74 | 0.03 | 75,000 |
| 108 | 0.01 | 110,000 |
| 200 | 0.001 | 150,000 |",Hydrology
"(a) \quad F_{\text{computed}} = 1.11, F_{\text{theor.}} = 2.1 → data homogeneous
\quad t_{\text{computed}} = 0.9, t_{\text{theor.}} = 1.68 → data homogeneous

(b)

| $P \%$ | 0.5 | 1 | 10 | 50 | 80 | 90 | 99 |
| :--- | :---: | :---: | :---: | :---: | :---: | :---: | :---: |
| $Q, \mathrm{~m}^{3} / \mathrm{s}$ | 575 | 518 | 332 | 187 | 126 | 102 | 61 |

(c)

| $P \%$ | 0.1 | 1 | 2 | 5 | 10 | 20 |
| :--- | :---: | :---: | :---: | :---: | :---: | :---: |
| $Q, \mathrm{~m}^{3} / \mathrm{s}$ | 717 | 531 | 475 | 400 | 342 | 282 |

(d)

| $\mathrm{P}_{\mathrm{N}} \%$ | 1.33 | 10.6 | 50 | 89.4 | 98.67 |
| :--- | :---: | :---: | :---: | :---: | :---: |
| $Q_{5}, \mathrm{~m}^{3} / \mathrm{s}$ | 683 | 401 | 210 | 117 | 74 |
| $Q_{95}, \mathrm{~m}^{3} / \mathrm{s}$ | 427 | 289 | 166 | 84 | 46 |",HHSWP_11_9,"The following table presents the yearly peak discharges of the Little Madawaska River near Fort Fairfield, Maine.

(a) The figures in parentheses pertain to snowmelt-induced floods. Evaluate if the peak discharges resulting from rainstorms are similar in nature to those caused by snowmelts at a $5\%$ significance level.

(b) Conduct a flood-frequency analysis of the yearly maximum flow data using the theoretical method, applying the log-Pearson type III distribution. The regional skew coefficient according to the map is 0.0.

(c) Address part (b) utilizing the extreme value type I distribution.

(d) Develop a reliability band with error limits of 0.05 and 0.95 on the log-Pearson type III frequency curve.

| Date | Discharge $\left(\mathrm{m}^{3} / \mathrm{s}\right)$ | Date | Discharge ( $\mathrm{m}^{3} / \mathrm{s}$ ) | Date | Discharge ( $\mathrm{m}^{3} / \mathrm{s}$ ) |
| :--- | :--- | :--- | :--- | :--- | :--- |
| 4/5/65 | (223) | 4/12/79 | (84) | 2/23/93 | (269) |
| 3/25/66 | (194) | 3/30/80 | (200) | 7/18/94 | 356 |
| 2/24/67 | (266) | 2/28/81 | (103) | 6/18/95 | (323) |
| 12/20/68 | 302 | 7/13/82 | 178 | 3/25/96 | (123) |
| 3/11/69 | (129) | 3/15/83 | (205) | 2/28/97 | (70) |
| 8/15/70 | 215 | 9/17/84 | 215 | 4/3/98 | (350) |
| 4/4/71 | (103) | 12/23/85 | 197 | 1/5/99 | 140 |
| 7/1/72 | 253 | 4/20/86 | (135) | 3/25/00 | (97) |
| 3/3/73 | (157) | 3/25/87 | (178) | 4/1/01 | (185) |
| 5/7/74 | 80 | 8/8/88 | 215 | 4/15/02 | (130) |
| 4/3/75 | (401) | 4/1/89 | (297) | 7/25/03 | 171 |
| 7/27/76 | 241 | 11/26/90 | 190 | 10/20/04 | 192 |
| 9/20/77 | 347 | 7/20/91 | 195 | 8/5/05 | 109 |",Hydrology
"\quad F_{\text {computed }}=1.48, F_{\text {theor. }}=3.17$, data homogeneous
$t_{\text {computed }}=0.84, t_{\text {theor. }}=2.06$, data homogeneous",HHSWP_11_10,"The following are the annual peak flow records for two different time periods for the Genesee River at Rochester, NY. Assess whether the datasets from these two periods are homogeneous, using a $2.5 \%$ significance level.

| Year | Discharge ( $\mathrm{m}^{3} / \mathrm{s}$ ) | Year | Discharge ( $\mathrm{m}^{3} / \mathrm{s}$ ) |
| :--- | :--- | :--- | :--- |
| 1948 | 21,600 | 2001 | 20,300 |
| 1949 | 16,400 | 2002 | 23,300 |
| 1950 | 33,100 | 2003 | 13,800 |
| 1951 | 20,200 | 2004 | 28,200 |
| 1952 | 17,700 | 2005 | 19,400 |
| 1953 | 17,100 | 2006 | 18,200 |
| 1954 | 17,500 | 2007 | 16,300 |
| 1955 | 19,100 | 2008 | 18,000 |
| 1956 | 24,300 | 2009 | 20,000 |
| 1957 | 17,000 | 2010 | 17,800 |
| 1958 | 14,900 | 2011 | 18,400 |
| 1959 | 17,700 | 2012 | 11,500 |
| 1960 | 25,800 | 2013 | 21,000 |
|  |  | 2014 | 14,900 |",Hydrology
"(a) 14,000 cfs

(b) $97\%$

(c) $16,910 \mathrm{cfs}$

(d) $98\%$",HHSWP_11_14,"The annual peak-flow data from Cedar River near Austin, MN, are presented in the table below.

(a) Create a flood-frequency curve using lognormal probability paper. Find the flood magnitude corresponding to a 100-year return period (probability of $1\%$).

(b) Calculate the probability of a 100 cfs flow.

(c) Conduct a frequency analysis using the theoretical approach with the lognormal distribution to estimate the 100-year flood.

(d) With the lognormal distribution, calculate the exceedance probability for a flow of 100 cfs.

| Year | Peakflow cfs | Year | Peakflow cfs | Year | Peakflow cfs | Year | Peakflow cfs |
| :--- | :--- | :--- | :--- | :--- | :--- | :--- | :--- |
| 1965 | 7750 | 1978 | 979 | 1991 | 3880 | 2003 | 8690 |
| 1966 | 5440 | 1979 | 4940 | 1992 | 2110 | 2004 | 3410 |
| 1967 | 3580 | 1980 | 4260 | 1993 | 8270 | 2005 | 2190 |
| 1968 | 5260 | 1981 | 9400 | 1994 | 5740 | 2006 | 4440 |
| 1969 | 4000 | 1982 | 9530 | 1995 | 4140 | 2007 | 4070 |
| 1970 | 8800 | 1983 | 2330 | 1996 | 3910 | 2008 | 1400 |
| 1971 | 7070 | 1984 | 990  | 1997 | 1300 | 2009 | 3290 |
| 1972 | 7520 | 1985 | 9400 | 1998 | 12400 | 2010 | 7580 |
| 1973 | 6990 | 1986 | 3740 | 1999 | 4720  | 2011 | 4640 |
| 1974 | 5570 | 1987 | 3250 | 2000 | 3250  | 2012 | 3190 |
| 1975 | 2710 | 1988 | 2920 | 2001 | 4810  | 2013 | 10800 |
| 1976 | 2190 | 1989 | 3830 | 2002 | 3060  | 2014 | 2500 |
| 1977 | 2250 | 1990 | 1430 |      |       |      |",Hydrology
"11.24

| $Q$, cfs | 26,500 | 25,000 | 20,000 | 17,500 | 15,000 | 12,500 | 10,000 |
| :--- | :---: | :---: | :---: | :---: | :---: | :---: | :---: |
| $P_{\text {combined }}, \%$ | 5 | 6 | 20.7 | 35.8 | 56 | 75.4 | 89.7 |
| 500 yrs |  |  |  |  |  |  |  |
",HHSWP_11_24,"At a gauging location, peak discharges are recorded from both hurricane and nonhurricane events, each with their own distinct flood-frequency curves. The following exceedance probabilities for each type of flood have been derived from these curves for the specified discharge levels. Construct a composite flood-frequency curve for the entire series. Determine the return period for a peak flow of $40,000 \mathrm{cfs}$.

| Q (cfs) | $P_{h}$ (for hurricane) | $P_{n}$ (for nonhurricane) |
| :--- | :--- | :--- |
| 26,500 | 0.048 | 0.002 |
| 25,000 | 0.051 | 0.009 |
| 20,000 | 0.064 | 0.153 |
| 17,500 | 0.072 | 0.308 |
| 15,000 | 0.084 | 0.52 |
| 12,500 | 0.098 | 0.727 |
| 10,000 | 0.119 | 0.883 |",Hydrology
"(a) $\mathrm{PMP}=13$ in., (b) $\bar{p}=10.83 \mathrm{in}$.",HHSWP_11_27,"For a storm area of $1000-\mathrm{mi}^{2}$ in the Delaware River Basin at Callicoon, PA (latitude 41.45 N, longitude 75 E), calculate the 6-hour PMP. Additionally, find the average precipitation depth on the watershed if the area is approximately $1800 \mathrm{mi}^{2}$. The isohyetal adjustment factors for $1000-\mathrm{mi}^{2}$ are provided below. Assume the orientation suggested by HMR 52.

| Isohyet | A | B | C | D | E | F | G | H | I | J | K |
| :---: | :---: | :---: | :---: | :---: | :---: | :---: | :---: | :---: | :---: | :---: | :---: |
| Factor | 1.5 | 1.4 | 1.3 | 1.22 | 1.12 | 1.04 | 0.96 | 0.88 | 0.82 | 0.6 | 0.42 |",Hydrology
"Q_{\text {peak }}=10,790 \mathrm{cfs}, Q_{50}=5400 \mathrm{cfs}, Q_{75}=8090 \mathrm{cfs}, W_{50}=4.5 \mathrm{hrs}, W_{75}=2.5 \mathrm{hrs}$
$11.3025,260 \mathrm{cfs}$.",HHSWP_11_28,"The ordinates of a 4-hour unit hydrograph for a basin covering $100 \mathrm{mi}^{2}$, derived from a typical storm, are listed below. Develop the altered unit hydrograph suitable for calculating the design flood hydrograph. It is given that the peak of the significant storm UHG is $130 \%$ of the typical storm.

| Time (hr) | 1 | 2 | 3 | 4 | 5 | 6 | 7 | 8 |
| :--- | :--- | :--- | :--- | :--- | :--- | :--- | :--- | :--- |
| Flow (cfs) | 475 | 3000 | 5240 | 7140 | 8300 | 7260 | 6190 | 5360 |
| Time (hr) | 9 | 10 | 11 | 12 | 13 | 14 | 15 | 16 |
| Flow (cfs) | 4520 | 3800 | 3200 | 2600 | 2140 | 1670 | 1300 | 950 |
| Time (hr) | 17 | 18 | 19 | 20 |  |  |  |  |
| Flow (cfs) | 710 | 475 | 240 | 120 |  |  |  |  |",Hydrology
"$\quad Q=1,298,356$ cfs, error $17 \%$",HHSWP_11_32,"On January 26, 1937, the Ohio River near Louisville experienced a peak discharge of $1,110,000$ cfs. The river covers a drainage area of $91,170 \mathrm{mi}^{2}$. Use the Myers method to estimate the peak-flow rate and calculate the percentage error of this estimation. Refer to Table 11.17 for the Myers rating.",Hydrology
330; 4700 cfs,HHSWP_11_33,"The following data were recorded during river basin floods. Calculate the Myers rating. What is the anticipated peak flow for a drainage area of 20,000 square miles?

| Drainage Area, mi ${ }^{2}$ | Peak flow, $\mathrm{ft}^{3} / \mathrm{s}$ |
| :--- | :--- |
| 220 | 400 |
| 500 | 680 |
| 1500 | 1100 |
| 3000 | 1500 |
| 5400 | 2500 |
| 10,000 | 3100 |
| 14,000 | 4000 |",Hydrology
"(a) $90\%$

(b) 3.1 yrs

(c) (a) $90\%$ (b) 2.9 yrs

(d)

| $P(\mathrm{X}<) \%$ | 10 | 20 | 40 | 60 | 80 | 90 | 95 | 98 | 99.9 |
| :--- | :---: | :---: | :---: | :---: | :---: | :---: | :---: | :---: | :---: |
| $Q, \mathrm{~m}^{3} / \mathrm{s}$ | 3.87 | 4.16 | 4.65 | 5.23 | 6.38 | 7.56 | 8.91 | 11.01 | 21.83 |",HHSWP_11_34,"The annual 7-day low flow data for the English River near Altona, NY, is provided below.

(a) Construct the low-flow frequency curve using extreme value type III (log Gumbel) paper. Find the likelihood of experiencing a 7-day low flow of $7.5\ \mathrm{m}^{3} / \mathrm{s}$.

(b) Calculate the return period for a flow rate of $4.5\ \mathrm{m}^{3} / \mathrm{s}$.

(c) Analytically resolve parts (a) and (b) using the log-extreme value I distribution.

(d) With the fitted log-extreme value I distribution, compute the quantiles for various exceedance probabilities.

| Year | 7-day Low Flow ( $\mathrm{m}^{3} / \mathrm{s}$ ) | Year | 7-Day Low Flow ( $\mathrm{m}^{3} / \mathrm{s}$ ) |
| :--- | :--- | :--- | :--- |
| 1981 | 4.95 | 1998 | 4.15 |
| 1982 | 4.90 | 1999 | 6.00 |
| 1983 | 5.80 | 2000 | 5.80 |
| 1984 | 4.95 | 2001 | 4.90 |
| 1985 | 6.20 | 2002 | 7.25 |
| 1986 | 6.25 | 2003 | 10.10 |
| 1987 | 4.85 | 2004 | 6.65 |
| 1988 | 4.00 | 2005 | 5.55 |
| 1989 | 4.15 | 2006 | 5.05 |
| 1990 | 5.55 | 2007 | 3.60 |
| 1991 | 5.60 | 2008 | 4.00 |
| 1992 | 6.35 | 2009 | 3.55 |
| 1993 | 4.85 | 2010 | 4.20 |
| 1994 | 3.15 | 2011 | 2.80 |
| 1995 | 6.40 | 2012 | 5.40 |
| 1996 | 6.30 | 2013 | 6.15 |
| 1997 | 4.65 | 2014 | 6.10 |",Hydrology
"(a) \quad 0.162\ \mathrm{~m}^{3} / \mathrm{s}

(b) \quad 0.162\ \mathrm{~m}^{3} / \mathrm{s}",HHSWP_12_3,"In a $200\ \mathrm{mm}$-diameter horizontal pipe transporting water at a pressure of $150\ \mathrm{kN} / \mathrm{m}^{2}$, a venturimeter is installed. The throat of the venturimeter has a diameter of 100 mm, and the pressure at this point is $-50\ \mathrm{kN} / \mathrm{m}^{2}$.

(a) Calculate the flow rate using the energy principle, ignoring any losses.

(b) Address part (a) utilizing the momentum principle. A force of 2.6 kN is applied by the water at the throat, directed to the left.",Hydrology
"(a) \quad 7.53\ \mathrm{ft}, 2.97\ \mathrm{ft}, 19.9\ \mathrm{ft} / \mathrm{s}

(b) \quad 7.53\ \mathrm{ft}, 3.00\ \mathrm{ft}, 19.7\ \mathrm{ft} / \mathrm{s}",HHSWP_12_7,"A rectangular channel has a width change from 40 ft to 50 ft over a distance of 100 ft. The slope of the channel is $0.1\%$. Given that the discharge and flow velocity at section 1 are 2950 cfs and $12.8\ \mathrm{ft} / \mathrm{sec}$, respectively:

(a) Calculate the depths of flow at sections 1 and 2, as well as the velocity at section 2, applying the energy principle. Ignore any losses.

(b) Resolve part (a) using the momentum principle.",Hydrology
"x=1-e^{-0.15 t}, v=e^{0.2 t}$",HHSWP_12_11,"Determine the characteristic curve and solve the equation below. Initially, $t=0$ seconds, $x=0$ feet, and $v=1$ foot per second.

$$
\frac{v}{t} \quad 0.151 \times \frac{v}{x} \quad 0.2 v
$$",Geophysics
"$\ln x=0.47 t^{3 / 2}+2.30, A=3.35 t+500$",HHSWP_12_12,"In a canal, the wave speed $c$ is expressed as $x \sqrt{0.5 t}$, where $x$ is measured in $\mathrm{ft}$, $t$ in seconds, and $c$ in $\mathrm{ft} / \mathrm{sec}$. Given that the lateral inflow rate is $201 \mathrm{ft}^{3} / \mathrm{min} / \mathrm{ft}$, find the characteristic curve and derive the equation for the flow area. At $t=0 \mathrm{sec}$, the flow area is $500 \mathrm{ft}^{2}$ at a distance of 10 ft from the start. [Utilize eq. (12.12)]",Physical Oceanography
"(a)

| Time, $\min$ | $y, \mathrm{~mm}$ | $x, \mathrm{~m}$ |
| :---: | :---: | :---: |
| 1 | 0.42 | 1.81 |
| 5 | 2.08 | 26.53 |

Equivalent depth at $50\ \mathrm{~m} = 3.05\ \mathrm{~mm}$

(b)

| Time, $\min$ | 0 | 1 | 2 | 3 | 5 |
| :--- | :---: | :---: | :---: | :---: | :---: |
| $q, \mathrm{~m}^{3} / \mathrm{s} / \mathrm{m}\left(\times 10^{-5}\right)$ | 0 | 1.26 | 4.0 | 7.86 | 18.43 |",HHSWP_12_13,"The intensity of rainfall on a plane that is $50\ \mathrm{m}$ in length with a slope of 0.005 is $2.5\ \mathrm{cm} / \mathrm{hr}$.

(a) Construct the characteristic path ($x$–$t$ diagram) reaching the end of the plane. Mark the flow depths in millimeters at times of 1 minute and 5 minutes and ascertain their positions downslope (in terms of $x$-distances). Also, find the equivalent depth at the plane's end. Given $n=0.013$.

(b) Calculate the rising hydrograph for this scenario: rainfall rate of $2.5\ \mathrm{cm} / \mathrm{hr}$, plane length of 50 meters, slope of 0.005, and $n = 0.013$.",Hydrology
"(a)

$t_{c} = 10\ \mathrm{min}$

| Time, s | Rising |   |   |   |   | Receding |   |
|--------:|--------:|----:|----:|----:|----:|-----------:|----:|
|         | 0       | 1   | 2   | 5   | 10  | 15        | 20  |
| $q, \mathrm{cfs} / \mathrm{ft} (\times 10^{-4})$ | 0 | 2.84 | 9.01 | 41.49 | 131.74 | 52 | 23 |

(b)

$\mathrm{KFr}^{2} = 133$, kinematic approximation valid",HHSWP_12_15,"Rainfall is occurring at a rate of 1.75 inches per hour on a plane that is $320\ \mathrm{ft}$ in length over a period of 10 minutes. The plane has a slope of $1\%$ and $n=0.023$.

(a) Calculate the time of concentration and the ordinates for both the ascending and descending limbs of the hydrograph. Create a plot of the hydrograph.

(b) Assess whether the kinematic wave theory is applicable to this situation for developing the hydrograph.",Hydrology
"t_{c}=8.37 \mathrm{~min}$

| Time, s | Rising |  |  |  |  | Receding |  |  |  |
| :--- | :--- | :--- | :--- | :--- | :--- | :--- | :--- | :--- | :--- |
|  | 0 | 1 | 3 | 5 | 8.37 | 12 | 15 | 20 | 25 |
| $q, \mathrm{~m}^{3} / \mathrm{s} / \mathrm{m}\left(\times 10^{-5}\right)$ | 0 | 1.01 | 6.32 | 14.82 | 34.95 | 34.95 | 18.6 | 6.6 | 1.3 |
",HHSWP_12_16,"Given a rainfall intensity of $2.5 \mathrm{~cm} / \mathrm{hr}$ on a parking lot measuring 50 m in length and having a $1 \%$ slope, calculate the entire hydrograph. The rainfall lasts for 12 minutes and $n=0.023$.",Hydrology
"t_{c}=11.77 \mathrm{~min}$

|  | Rising |  |  |  |  | Receding |  |  |
| :--- | :--- | :--- | :--- | :--- | :--- | :--- | :--- | :--- |
| Time, s | 0 | 2 | 5 | 8 | 12.3 | 15 | 20 | 25 |
| $q, \mathrm{~m}^{3} / \mathrm{s} / \mathrm{m}\left(\times 10^{-5}\right)$ | 0 | 3.06 | 14.09 | 30.84 | 30.84 | 20 | 9.6 | 5.2 |
",HHSWP_12_17,The rainfall rate on a flat surface is $3.5 \mathrm{~cm} / \mathrm{hr}$ for 8 minutes. The surface area measures $60 \mathrm{~m} \times 60 \mathrm{~m}$ with a gradient of 0.005. Create the full hydrograph. $n=0.03$.,Hydrology
"(a)

| Time, hr | 12 | 24 | 36 | 48 | 60 | 72 | 84 | 96 |
| :--- | :---: | :---: | :---: | :---: | :---: | :---: | :---: | :---: |
| $O$, cfs | 300 | 348 | 575 | 823 | 799 | 678 | 514 | 326 |

(b)

| Time, hr | 12 | 24 | 36 | 48 | 60 | 72 | 84 | 96 |
| :--- | :---: | :---: | :---: | :---: | :---: | :---: | :---: | :---: |
| $Q$, cfs | 300 | 307.5 | 390.9 | 567.1 | 686.7 | 705.3 | 644.8 | 520.8 |",HHSWP_12_20,"Apply the Muskingum-Cunge approach to route the given hydrograph:

| Time (hr) | 12 | 24 | 36 | 48 | 60 | 72 | 84 | 96 |
| :---: | :---: | :---: | :---: | :---: | :---: | :---: | :---: | :---: |
| Flow (cfs) | 300 | 450 | 750 | 825 | 740 | 600 | 400 | 270 |

The characteristics of the flood channel are as follows: peak flow $=825\ \mathrm{cfs}$, area of channel cross section $=120\ \mathrm{ft}^2$, width $=30\ \mathrm{ft}$, channel slope $=0.00015$, reach length $=50\ \mathrm{mi}$.

(a) Employ the Muskingum-Cunge method to route the hydrograph.

(b) Given the routing constants for a river reach are 24 hours and $x = 0.2$, use the Muskingum method to route the above inflow hydrograph.",Hydrology
"(a)

| Time, hr | 6 AM | Noon | 6 PM | Midnight | 6 AM ... | Midnight |
| :--- | :---: | :---: | :---: | :---: | :---: | :---: |
| $O$, cfs | 150 | 159 | 211 | 418 | 749 | 383 |

| Time, hr | 6 AM | Noon | Midnight | 6 AM | Noon |
| :--- | :---: | :---: | :---: | :---: | :---: |
| $O$, cfs | 279 | 193 | 104 | 94 | 72 |

(b)

| Time | 6 AM | Noon | 6 PM | Midnight ... | 6 PM | Midnight | 6 AM | Noon ... | 6 AM | Noon |
| :--- | :---: | :---: | :---: | :---: | :---: | :---: | :---: | :---: | :---: | :---: |
| $O$, cfs | 150 | 155.4 | 192.0 | 338.9 | 582.1 | 453 | 341.7 | 246.3 | 108.3 | 85.6 |",HHSWP_12_21,"Apply the Muskingum-Cunge technique to route the given hydrograph:

| Time | Inflow (cfs) | Time | Inflow (cfs) |
| :--- | :--- | :--- | :--- |
| 6 A.M. | 150 | Midnight | 300 |
| Noon | 180 | 6 A.M. | 200 |
| 6 P.M. | 300 | Noon | 150 |
| Midnight | 750 | 6 P.M. | 100 |
| 6 A.M. | 850 | Midnight | 100 |
| Noon | 550 | 6 A.M. | 80 |
| 6 P.M. | 400 | Noon | 50 |

The characteristics of the channel and flow are: channel bed slope $=0.0001$, reach length $=30\ \mathrm{mi}$, peak flow $=1500\ \mathrm{cfs}$, cross-sectional area of the channel $=270\ \mathrm{ft}^{2}$, and width $=20\ \mathrm{ft}$.

(a) Use the Muskingum-Cunge method to route the inflow hydrograph.

(b) Calculate the hydrograph at the downstream location using the Muskingum method with parameters $K = 8$ hours and $x = 0.15$.",Hydrology
"12.22

| Time, hr | 0 | 1 | 2 | 3 | 4 | 5 | 6 | 7 | 8 | 9 | 10 |
| :--- | :---: | :---: | :---: | :---: | :---: | :---: | :---: | :---: | :---: | :---: | :---: |
| $O, \mathrm{~m}^{3} / \mathrm{s}$ | 15 | 18.19 | 38.71 | 93.35 | 168.24 | 208.75 | 190.41 | 144.42 | 84.22 | 47.34 | 24.12 |
",HHSWP_12_22,"Using the Muskingum-Cunge method, process the following hydrograph.

| Time, hr. | 0 | 1 | 2 | 3 | 4 | 5 | 6 | 7 | 8 | 9 | 10 |
| :---: | :---: | :---: | :---: | :---: | :---: | :---: | :---: | :---: | :---: | :---: | :---: |
| Flow, $\mathrm{m}^{3} / \mathrm{s}$ | 15 | 27 | 75 | 160 | 220 | 200 | 160 | 88 | 50 | 25 | 12 |

The maximum flow rate is $220 \mathrm{~m}^{3} / \mathrm{s}$, with a channel cross-sectional area of $183 \mathrm{~m}^{2}$ and a width of 35 m. The bed slope is 0.001, and the reach length measures 6 km.",Hydrology
"\mathrm{x}=0.1, \mathrm{~K}=10 \mathrm{hrs}$",HHSWP_12_24,"Using the following hydrographs for the upstream and downstream points of a river segment, find the Muskingum routing constants.

| Date | Time (hr) | Inflow (cfs) | Outflow (cfs) | Date | Time (hr) | Inflow (cfs) | Outflow (cfs) |
| :--- | :--- | :--- | :--- | :--- | :--- | :--- | :--- |
| 1 | 6 | 0 | 0 | 3 | 6 | 25 | 48.5 |
|  | 12 | 75 | 32.3 |  | 12 | 25 | 37.7 |
|  | 18 | 170 | 66.3 |  | 18 | 25 | 31.8 |
|  | 24 | 125 | 107.8 |  | 24 | 25 | 28.7 |
| 2 | 6 | 100 | 112.3 |  |  |  |  |
|  | 12 | 77.5 | 103.3 |  |  |  |  |
|  | 18 | 57.5 | 88.2 |  |  |  |  |
|  | 24 | 25.0 | 69.3 |  |  |  |  |",Hydrology
"12.28

| Time, hr | - | 0 | 0.4 | 0.8 | $1.2 \ldots$ | 3.2 | 3.6 | 4.0 | 4.4 |
| :--- | :---: | :---: | :---: | :---: | :---: | :---: | :---: | :---: | :---: |
| $I, \mathrm{cfs}$ | 0 | 0 | 600 | 2100 | 2500 | 80 | 0 | 0 | 0 |
| $O, \mathrm{cfs}$ | 0 | 0 | 50 | 415 | 1120 | 650 | 440 | 240 | 200 |
| Elev., ft | 60 | 60.3 | 61.6 | 63.1 | 63.8 | 61.65 | 61.25 | 61.0 | 60.8 |
",HHSWP_12_28,"Route the flood hydrograph described below through a reservoir. The reservoir survey provides storage data (elevation versus volume). The spillway features are as follows:

1. Flow equation: $=3 L H^{3 / 2}$
2. Length: $=70 \mathrm{ft}$
3. Crest height: $=60 \mathrm{ft}$

Inflow hydrograph:

| Time (hr) | 0 | 0.4 | 0.8 | 1.2 | 1.6 | 2.0 | 2.4 | 2.8 | 3.2 | 3.6 |
| :---: | :---: | :---: | :---: | :---: | :---: | :---: | :---: | :---: | :---: | :---: |
| Flow (cfs) | 0 | 600 | 2100 | 2500 | 1600 | 950 | 550 | 300 | 80 | 0 |

Storage information:

| Elevation (ft) | 60 | 61 | 62 | 63 | 64 | 65 |
| :---: | :---: | :---: | :---: | :---: | :---: | :---: |
| Storage (acre-ft) | 300 | 330 | 360 | 395 | 430 | 470 |",Hydrology
"12.29

| Time, hr | - | 0 | 0.5 | 1.0 | 1.5 | 2.0 ... | 4.5 | 5.0 | 5.5 | 6.0 |
| :--- | :--- | :--- | :--- | :--- | :--- | :--- | :--- | :--- | :--- | :--- |
| $I$, cfs | 0 | 0 | 20 | 70 | 160 | 280 | 0 | 0 | 0 | 0 |
| O, cfs | 0 | 0 | 2 | 17 | 52 | 105 | 98 | 65 | 42 | 27 |
| Elev., ft | 15 | 15.3 | 16.1 | 16.95 | 18.0 | 18.9 | 17.25 | 16.75 | 16.35 | 16.0 |",HHSWP_12_29,"Below are the reservoir storage and spillway rating data. Route the specified flood hydrograph through the reservoir.
Inflow hydrograph:

| Time $(\mathrm{hr})$ | 0 | 0.5 | 1.0 | 1.5 | 2.0 | 2.50 | 3.0 | 3.50 | 4.0 |
| :---: | :---: | :---: | :---: | :---: | :---: | :---: | :---: | :---: | :---: |
| Flow $(\mathrm{cfs})$ | 0 | 20 | 70 | 160 | 280 | 330 | 140 | 100 | 40 |

Data on storage and discharge:

| Elevation (ft) | 15 | 16 | 17 | 18 | 19 | 20 |
| :--- | :--- | :--- | :--- | :--- | :--- | :--- |
| Storage in $1000 \mathrm{ft}^{3}$ | 180 | 252 | 414 | 655 | 990 | 1350 |
| Outflow (cfs) $\left(1 \mathrm{cfs}-\mathrm{hr}=3600 \mathrm{ft}^{3}\right)$ | 0 | 15 | 55 | 105 | 175 | 240 |
|  |  |  |  |  |  |  |",Hydrology
14 in.,HHSWP_13_2,"Calculate the diameter of the opening at the base of a tank, given that the water level is maintained at 15 ft above the opening and the flow rate is $20 \mathrm{cfs}$. The discharge coefficient $C_{d}$ is 0.6.",Hydrology
"\quad 0.71,0.9,0.643$",HHSWP_13_4,"With a steady head of 5 meters, a 100 mm orifice allows a discharge of $0.05 \mathrm{~m}^{3} / \mathrm{s}$. When an external mouthpiece is added, the discharge rises to $0.07 \mathrm{~m}^{3} / \mathrm{s}$. The known coefficient is $C_{c}=1$ for the mouthpiece, and the velocity coefficient remains constant. Calculate the coefficients of contraction, velocity, and discharge for the orifice.",Hydrology
\quad 43.4 \mathrm{~s}$,HHSWP_13_7,A bucket with a height of 2.5 ft has a top diameter of 2 ft and a bottom diameter of 1 ft. There is a hole with a diameter of 2 in. at the bottom. How much time is required to completely empty the bucket? $C_{d}=0.61$.,Hydrology
\quad 20.58 \mathrm{~s}$,HHSWP_13_8,"A cylindrical tank with a diameter of 2.2 m and a height of 4 m features an inlet at the top and a 400 mm diameter outlet at the bottom. A steady flow of $0.2 \mathrm{~m}^{3} / \mathrm{s}$ is introduced through the inlet. Upon opening the bottom outlet when the tank is full, how much time will it take for the tank to be half-empty? $C_{d}=0.6$.",Hydrology
\quad 442 \mathrm{ft}$,HHSWP_13_10,"Calculate the necessary length of a sharp-crested weir to release 4000 cfs with a head of 2.25 ft. The weir is segmented by vertical posts, each 2 ft wide, with a clear span of 10 ft between them. The approach channel is 600 ft wide and 3.5 ft deep. Given that $C_{d}=0.61$.",Hydrology
\quad 3.02 \mathrm{ft}$,HHSWP_13_12,"Water flows over a rectangular weir with a width of 10 ft and a depth of 1 ft. If this weir is substituted with an $80^{\circ} \mathrm{V}$-notch, find the depth of water above the notch. Ignore the end contractions. The discharge coefficient $C_{d}$ for the notch is 0.59, and for the rectangular weir, it is 0.63.",Hydrology
\quad 1.35 \mathrm{ft}$,HHSWP_13_14,A trapezoidal weir features a length of 19 ft with side slopes of 1 horizontal to 2 vertical. Determine the head over the weir when the flow rate is 100 cfs. Given $C_{d}=0.62$.,Hydrology
